title,company,location,job_type,source,priority_score,url,list_source
BUSINESS ANALYST L4,Wipro,"Pune Division, Maharashtra, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-l4-at-wipro-4389216052?position=56&pageNum=0&refId=zGPca3dK8ZZ7hqRhaRak3g%3D%3D&trackingId=ObHlHMtIPuSiiCAvT4fNRA%3D%3D,data_analyst_roles
Big Data Trainee,Omadus Infotech,Work from home,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-remote-part-time-big-data-trainee-job-at-omadus-infotech1774117406,internships_all
Business Analyst,Antano&Harini,Chennai,Job,Internshala - Job,0.0,https://internshala.com/job/detail/business-analyst-job-in-chennai-at-antano-harini1772865767,data_analyst_roles
Business Analyst,BNP Paribas,"Mumbai, Maharashtra, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-bnp-paribas-4389007653?position=5&pageNum=5&refId=52tg0H35bCmO95BAS2Jjcg%3D%3D&trackingId=cseTtOzVrVNg3VaSQfK%2BeA%3D%3D,data_analyst_roles
Business Analyst,Brain Quest,Work from home,Internship,Internshala - Internship,0.0,https://internshala.com/internship/detail/work-from-home-business-analyst-internship-at-brain-quest1773304101,data_analyst_roles
Business Analyst,E42.ai,India,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-e42-ai-4386651734?position=17&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=GWgQpb4KPc3A0v8ceeszRA%3D%3D,data_analyst_roles
Business Analyst,Eternal Robotics,"Hyderabad, Telangana, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-eternal-robotics-4386675713?position=48&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=q%2BqqnYlBiwSenC%2FruNiw7Q%3D%3D,data_analyst_roles
Business Analyst,Evolko,Lucknow,Internship,Internshala - Internship,0.0,https://internshala.com/internship/detail/business-analyst-internship-in-lucknow-at-evolko1773127414,data_analyst_roles
Business Analyst,Flexiple,India,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-flexiple-4389057349?position=46&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=piivirgvN6Bc7bmTrgNSTg%3D%3D,data_analyst_roles
Business Analyst,Gluzo,Noida,Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-business-analyst-job-in-noida-at-gluzo1773157014,data_analyst_roles
Business Analyst,GoodSpace AI,"Mumbai, Maharashtra, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-goodspace-ai-4386664140?position=42&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=JaIJWsAAIEvZfriPYokVfg%3D%3D,data_analyst_roles
Business Analyst,Innovfix Private Limited,Bangalore (Hybrid),Job,Internshala - Job,0.0,https://internshala.com/job/detail/fresher-business-analyst-job-in-bangalore-at-innovfix-private-limited1772776422,data_analyst_roles
Business Analyst,Insight Global,"Bengaluru, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-insight-global-4388910011?position=10&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=fOv%2BrJgIN892DN6Z%2Bolwzg%3D%3D,data_analyst_roles
Business Analyst,Norstella,India,Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-norstella-4389080511?position=43&pageNum=0&refId=zGPca3dK8ZZ7hqRhaRak3g%3D%3D&trackingId=p5WJryVgJLqIsAygf2rADg%3D%3D,data_analyst_roles
Business Analyst,PlaySimple Games,"Bangalore North Rural, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-playsimple-games-4389052389?position=40&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=ChNn75QeHCzXKb9yHYLdqA%3D%3D,data_analyst_roles
Business Analyst,Runmap Infotech Private Ltd.,"Mumbai, Maharashtra, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-runmap-infotech-private-ltd-4389081579?position=37&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=0N6ZVFqlBVUU3bI46h9mXw%3D%3D,data_analyst_roles
Business Analyst,SMB Catalyst,Mumbai,Job,Internshala - Job,0.0,https://internshala.com/job/detail/business-analyst-job-in-mumbai-at-smb-catalyst1772736958,data_analyst_roles
Business Analyst,Scoutit,"Bangalore Rural, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388907725?position=52&pageNum=0&refId=zGPca3dK8ZZ7hqRhaRak3g%3D%3D&trackingId=RDEx1LoT2yq%2B3BH0k64bcQ%3D%3D,data_analyst_roles
Business Analyst,Scoutit,"Bangalore Urban district, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388912451?position=38&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=TGY8HNXeTAhCutdyRFcHyg%3D%3D,data_analyst_roles
Business Analyst,Scoutit,"Bengaluru East, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388922138?position=6&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=17h%2FDRsQOPT7puzcazKIGg%3D%3D,data_analyst_roles
Business Analyst,Scoutit,"Bengaluru North, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388905681?position=27&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=QZ1ttvugl3xv1T2yxjIxYA%3D%3D,data_analyst_roles
Business Analyst,Scoutit,"Bengaluru South, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388915375?position=7&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=Xf53a%2Fl2t0Glz6MTsjeyJg%3D%3D,data_analyst_roles
Business Analyst,Scoutit,"Bengaluru, Karnataka, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388914376?position=8&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=gD6WgTpctIygkkR%2FuJo9%2Fw%3D%3D,data_analyst_roles
Business Analyst,Scoutit,"Delhi, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388914292?position=12&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=cYmmIs40b2s8HGCXhC49rA%3D%3D,data_analyst_roles
Business Analyst,Scoutit,"Gurugram, Haryana, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388907620?position=9&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=zr4gtskP3dpC%2FZc%2Fh45%2BOg%3D%3D,data_analyst_roles
Business Analyst,Scoutit,"New Delhi, Delhi, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388910482?position=15&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=u%2B3gw83S6fgCEYAT2QTE9g%3D%3D,data_analyst_roles
Business Analyst,Scoutit,"Noida, Uttar Pradesh, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-scoutit-4388911422?position=58&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=n%2Fl9t73isbmDSmONSjbcZQ%3D%3D,data_analyst_roles
Business Analyst,Stage X,Bhopal,Job,Internshala - Job,0.0,https://internshala.com/job/detail/business-analyst-job-in-bhopal-at-stage-x1771934313,data_analyst_roles
Business Analyst,Star Union Dai-ichi Life Insurance Company Limited,"Navi Mumbai, Maharashtra, India",Job,LinkedIn,0.0,https://in.linkedin.com/jobs/view/business-analyst-at-star-union-dai-ichi-life-insurance-company-limited-4389064051?position=39&pageNum=0&refId=JMKrkJG5MaHd9vNjKND5fg%3D%3D&trackingId=PQggFsQgQZ4vigjZiCPCZA%3D%3D,data_analyst_roles
