title,job_title,company,location,description,requirements,experience,salary_min,salary_max,salary_text,job_type,link,apply_link,source,platform,posted_date,keywords_matched,ats_score,role,target_level,score,profile_role,experience_match,location_match
Social Media & Content Manager,Social Media & Content Manager,Bizzaro,Delhi,"Duration: Not specified
Skills: ",,0-1 years,0,0,Not disclosed,Internship,https://internshala.com/internship/detail/social-media-content-manager-internship-in-delhi-at-bizzaro1775196766,https://internshala.com/internship/detail/social-media-content-manager-internship-in-delhi-at-bizzaro1775196766,Internshala,Internshala,,[],0,data_analyst,entry,5.0,data_analyst,True,True
Junior Art Associate,Junior Art Associate,Athul Prasad,Work from home,"Duration: Not specified
Skills: ",,0-1 years,0,0,Not disclosed,Internship,https://internshala.com/internship/detail/work-from-home-junior-art-associate-internship-at-athul-prasad1775125140,https://internshala.com/internship/detail/work-from-home-junior-art-associate-internship-at-athul-prasad1775125140,Internshala,Internshala,,[],0,data_analyst,entry,5.0,data_analyst,True,True
Full Stack Developer,Full Stack Developer,Capco,Remote,"Computer science, Automation, Front end, Version control, GIT, Unit testing...

Posted: 11 days ago","Computer science, Automation, Front end, Version control, GIT, Unit testing...",8-13 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-Full-Stack-Developer-Capco-Chennai-Pune-Delhi-Mumbai-Bengaluru-Hyderabad-Kolkata-8-to-13-years-260326500669?src=jobsearchDesk&sid=1775449102996&xp=8&px=1,https://www.naukri.com/job-listings-Full-Stack-Developer-Capco-Chennai-Pune-Delhi-Mumbai-Bengaluru-Hyderabad-Kolkata-8-to-13-years-260326500669?src=jobsearchDesk&sid=1775449102996&xp=8&px=1,Naukri,Naukri,11 days ago,[],0,data_analyst,entry,5.0,data_analyst,True,True
Pharmacovigilance Interns - B.Pharm / M.Pharm/ Pharm D - Freshers,Pharmacovigilance Interns - B.Pharm / M.Pharm/ Pharm D - Freshers,Clininfotech,Remote,"Pharmaceutics, MedDRA, PV, Pharmacology, Pharmacovigilance, PharmD...

Posted: 4 days ago","Pharmaceutics, MedDRA, PV, Pharmacology, Pharmacovigilance, PharmD...",0-1 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-Pharmacovigilance-Interns-B-Pharm-M-Pharm-Pharm-D-Freshers-Clininfotech-Pune-Bengaluru-Hyderabad-0-to-1-years-081124008721?src=jobsearchDesk&sid=1775449102996&xp=7&px=1,https://www.naukri.com/job-listings-Pharmacovigilance-Interns-B-Pharm-M-Pharm-Pharm-D-Freshers-Clininfotech-Pune-Bengaluru-Hyderabad-0-to-1-years-081124008721?src=jobsearchDesk&sid=1775449102996&xp=7&px=1,Naukri,Naukri,4 days ago,[],0,data_analyst,entry,5.0,data_analyst,True,True
Vue.Js Developer,Vue.Js Developer,Tata Consultancy Services,Remote,"Vue.Js, Typescript, Javascript, vue3

Posted: 1 day ago","Vue.Js, Typescript, Javascript, vue3",5-8 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-Vue-Js-Developer-Tata-Consultancy-Services-Delhi-NCR-Mumbai-Hyderabad-5-to-8-years-050426004713?src=jobsearchDesk&sid=1775449102996&xp=6&px=1,https://www.naukri.com/job-listings-Vue-Js-Developer-Tata-Consultancy-Services-Delhi-NCR-Mumbai-Hyderabad-5-to-8-years-050426004713?src=jobsearchDesk&sid=1775449102996&xp=6&px=1,Naukri,Naukri,1 day ago,[],0,data_analyst,entry,5.0,data_analyst,True,True
BPO / Customer Service - CHAT / Email Work from Office BI,BPO / Customer Service - CHAT / Email Work from Office BI,Hexaware Technologies,Remote,"BPO, Blended Process, Email Support, a, Customer Service...

Posted: Just Now","BPO, Blended Process, Email Support, a, Customer Service...",0-5 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-BPO-Customer-Service-CHAT-Email-Work-from-Office-BI-Hexaware-Technologies-Chennai-Pune-Indore-Bengaluru-Mohali-Hyderabad-Noida-Jaipur-Kolkata-0-to-5-years-060426001313?src=jobsearchDesk&sid=1775449102996&xp=5&px=1,https://www.naukri.com/job-listings-BPO-Customer-Service-CHAT-Email-Work-from-Office-BI-Hexaware-Technologies-Chennai-Pune-Indore-Bengaluru-Mohali-Hyderabad-Noida-Jaipur-Kolkata-0-to-5-years-060426001313?src=jobsearchDesk&sid=1775449102996&xp=5&px=1,Naukri,Naukri,Just Now,[],0,data_analyst,entry,5.0,data_analyst,True,True
Fresher,Fresher,Unifybrains Infotech,Remote,"ios trainee

Posted: 30+ days ago",ios trainee,0-2 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-Fresher-Unifybrains-Infotech-Chennai-Pune-Delhi-Mumbai-Bengaluru-Hyderabad-Kolkata-0-to-2-years-200520500046?src=jobsearchDesk&sid=1775449102996&xp=4&px=1,https://www.naukri.com/job-listings-Fresher-Unifybrains-Infotech-Chennai-Pune-Delhi-Mumbai-Bengaluru-Hyderabad-Kolkata-0-to-2-years-200520500046?src=jobsearchDesk&sid=1775449102996&xp=4&px=1,Naukri,Naukri,30+ days ago,[],0,data_analyst,entry,5.0,data_analyst,True,True
Java Full Stack Developer - Pune,Java Full Stack Developer - Pune,Infosys,Remote,"Spring Boot, Java Fullstack, Java React, Java Angular

Posted: 6 days ago","Spring Boot, Java Fullstack, Java React, Java Angular",5-8 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-Java-Full-Stack-Developer-Pune-Infosys-Pune-Hyderabad-Mumbai-All-Areas-5-to-8-years-051225037950?src=jobsearchDesk&sid=1775449102996&xp=3&px=1,https://www.naukri.com/job-listings-Java-Full-Stack-Developer-Pune-Infosys-Pune-Hyderabad-Mumbai-All-Areas-5-to-8-years-051225037950?src=jobsearchDesk&sid=1775449102996&xp=3&px=1,Naukri,Naukri,6 days ago,[],0,data_analyst,entry,5.0,data_analyst,True,True
Java Full Stack Developer - Pune,Java Full Stack Developer - Pune,Infosys,Remote,"Java Fullstack, Java React, Java Angular

Posted: 6 days ago","Java Fullstack, Java React, Java Angular",8-12 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-Java-Full-Stack-Developer-Pune-Infosys-Pune-Hyderabad-Mumbai-All-Areas-8-to-12-years-051225038001?src=jobsearchDesk&sid=1775449102996&xp=2&px=1,https://www.naukri.com/job-listings-Java-Full-Stack-Developer-Pune-Infosys-Pune-Hyderabad-Mumbai-All-Areas-8-to-12-years-051225038001?src=jobsearchDesk&sid=1775449102996&xp=2&px=1,Naukri,Naukri,6 days ago,[],0,data_analyst,entry,5.0,data_analyst,True,True
Java Full Stack Developer-N,Java Full Stack Developer-N,Infosys,Remote,"Java Fullstack, Java React, Java Angular

Posted: 6 days ago","Java Fullstack, Java React, Java Angular",8-12 yrs,0,0,Not disclosed,Job,https://www.naukri.com/job-listings-Java-Full-Stack-Developer-N-Infosys-Pune-Hyderabad-Mumbai-All-Areas-8-to-12-years-121225037485?src=jobsearchDesk&sid=1775449102996&xp=1&px=1,https://www.naukri.com/job-listings-Java-Full-Stack-Developer-N-Infosys-Pune-Hyderabad-Mumbai-All-Areas-8-to-12-years-121225037485?src=jobsearchDesk&sid=1775449102996&xp=1&px=1,Naukri,Naukri,6 days ago,[],0,data_analyst,entry,5.0,data_analyst,True,True
Job,Job,PlayOn,India,<br/><br/>Please mention the word **LUXURIOUSLY** and tag RMTAzLjIwNi4xMDUuODQ= when applying to show you read the job post completely (#RMTAzLjIwNi4xMDUuODQ=). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human.,,0-1 years,0,0,,Job,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-playon-1130957,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-playon-1130957,RemoteOK,RemoteOK,,[],0,data_analyst,entry,5.0,data_analyst,True,True
Browse by Skills,Browse by Skills,Company,India,,,0-1 years,0,0,,Job,https://www.talentd.in/jobs/skills,https://www.talentd.in/jobs/skills,Talentd,Talentd,,[],0,data_analyst,entry,5.0,data_analyst,True,True
